epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,148.111,1.0569,0.55246,1.11606,0.97022,1,0.96736,0.65519,1.15764,0.48027,1.05796,0.00129512,0.00129512,0.00129512
91,149.753,1.01973,0.53292,1.06372,0.97019,1,0.96736,0.67028,1.11252,0.46123,1.03807,0.0012872,0.0012872,0.0012872
92,151.384,1.08455,0.57064,1.1432,0.96997,1,0.96736,0.67975,1.10251,0.46884,1.03422,0.00127928,0.00127928,0.00127928
93,153.006,1.01551,0.52094,1.08786,0.96984,1,0.97056,0.682,1.08681,0.45406,1.01787,0.00127136,0.00127136,0.00127136
94,154.633,1.00884,0.52333,1.04323,0.97065,1,0.97056,0.64133,1.13643,0.4488,1.02835,0.00126344,0.00126344,0.00126344
95,156.314,1.09411,0.55369,1.1034,0.97039,1,0.97139,0.67083,1.10066,0.49815,1.03329,0.00125552,0.00125552,0.00125552
96,158.027,1.00775,0.57464,1.07099,0.9704,1,0.96806,0.68602,1.11051,0.47731,1.04335,0.0012476,0.0012476,0.0012476
97,159.706,1.09667,0.53366,1.09393,0.96982,1,0.96806,0.67181,1.09225,0.46621,1.03543,0.00123968,0.00123968,0.00123968
98,161.366,0.99897,0.52128,1.0547,0.96947,1,0.96889,0.68626,1.07331,0.44856,1.01871,0.00123176,0.00123176,0.00123176
99,163.004,1.05418,0.54036,1.07503,0.97045,1,0.97278,0.68796,1.08924,0.45704,1.01921,0.00122384,0.00122384,0.00122384
100,164.628,1.01526,0.51278,1.09248,0.97038,1,0.98333,0.68892,1.09845,0.43584,1.02257,0.00121592,0.00121592,0.00121592
101,166.251,1.0235,0.52386,1.07671,0.97038,1,0.99361,0.70651,1.05991,0.42874,1.01244,0.001208,0.001208,0.001208
